KEY,en,notes,sp,fr,de,it,pt-br
CURRENT_LANGUAGE_NAME,English,"put ""espanol"" in the spanish column, ""francois"" in the french one, etc. Limited text box space so abbreviate if necessary",Español,Français,Deutsch,Italiano,Português (Brasil)
CURRENT_LANGUAGE_SHIPPABLE,yes,"put ""yes"" if the language is shippable and ""no"" if its not ready yet. this is not displayed, just used to determine if the language should show in the UI selector",yes,yes,yes,yes,yes
,,,,,,,
SONG_UNLOCK_CREDITS_1,"""Get in the Cage"" is now in the radio playlist!",,¡Se ha añadido «Get in the Cage» a la lista de la radio!,«&nbsp;L'entrée en cage&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Get in the Cage“ kann jetzt im Radio laufen!,"""Get in the Cage"" è ora nella playlist della radio!","""Get in the Cage"" foi adicionada à lista de reprodução de rádio!"
SONG_UNLOCK_CREDITS_2,"""Future Meets the Past"" is now in the radio playlist!",,¡Se ha añadido «Future Meets the Past» a la lista de la radio!,«&nbsp;Le futur face au passé&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Future Meets the Past“ kann jetzt im Radio laufen!,"""Future Meets the Past"" è ora nella playlist della radio!","""Future Meets the Past"" foi adicionada à lista de reprodução de rádio!"
,,,,,,,
,,,,,,,
CONTROL_BINDING_UNKNOWN,Unknown,,Desconocido,Inconnu,Unbekannt,Sconosciuto,Desconhecido
CONTROL_BINDING_ANY,Any Button,,Cualquier botón,N'importe quelle touche,Beliebige Taste,Qualsiasi pulsante,Qualquer botão
CONTROL_BINDING_LEFTCLICK,Left Click,,Clic izquierdo,Clic gauche,Linksklick,Clic sinistro,Botão esquerdo do mouse
CONTROL_BINDING_RIGHTCLICK,Right Click,,Clic derecho,Clic droit,Rechtsklick,Clic destro,Botão direito do mouse
CONTROL_BINDING_MIDDLECLICK,Middle Click,,Clic central,Clic molette,Mittlere Maustaste,Clic centrale,Botão do meio do mouse
CONTROL_BINDING_MOUSE4,Mouse 4,,Ratón 4,Clic&nbsp;4,Maus 4,Mouse 4,Mouse 4
CONTROL_BINDING_MOUSE5,Mouse 5,,Ratón 5,Clic&nbsp;5,Maus 5,Mouse 5,Mouse 5
CONTROL_BINDING_MOUSEX,Mouse,,Ratón,Souris,Maus,Mouse,Mouse
CONTROL_BINDING_MOUSEY,Mouse,,Ratón,Souris,Maus,Mouse,Mouse
CONTROL_BINDING_MOUSEWHEELX,Mouse Wheel,,Rueda del ratón,Molette,Mausrad,Rotellina del mouse,Roda do mouse
CONTROL_BINDING_MOUSEWHEELY,Mouse Wheel,,Rueda del ratón,Molette,Mausrad,Rotellina del mouse,Roda do mouse
CONTROL_BINDING_NONE,,purposely empty,,,,,
,,,,,,,
ENEMY_FATWOMAN_DESC,"Melee attacker with Knockback.
Reflects projectiles. Units that contact it get knocked back.
Trample.",,"Atacante cuerpo a cuerpo con retroceso.
Devuelve los proyectiles. Las unidades que entran en contacto retroceden.
Pisotón.","Attaque au corps-à-corps avec Recul.
Renvoie les projectiles. Les unités qui le touchent sont repoussées.
Piétinement.","Nahkämpferin mit Rückstoß.
Reflektiert Geschosse. Einheiten, die sie berühren, werden zurückgestoßen.
Trampel.","Attaccante corpo a corpo con Contraccolpo.
Riflette i proiettili. Le unità che la colpiscono vengono respinte indietro.
Calpestamento.","Agressor corpo-a-corpo com empurrão
Reflete projéteis. Unidades que atacam ou entram em contato são empurradas.
Atropelamento."
EABILITY_BIRTH_NAME,Birth,,Nacimiento,Naissance,Gebären,Nascita,Nascimento
,,,,,,,
SPECIAL_STRAY_BUNNY,Bunny,,Conejito,Lapin,Hase,Coniglietto,Coelho
SPECIAL_STRAY_BEAVER,Beaver,,Castor,Castor,Biber,Castoro,Castor
SPECIAL_STRAY_PIG,Pig,,Cerdo,Cochon,Schwein,Maiale,Porco
SPECIAL_STRAY_DOG,Dog,,Perro,Chien,Hund,Cane,Cachorro
SPECIAL_STRAY_SKUNK,Skunk,,Mofeta,Mouffette,Stinktier,Puzzola,Gambá
SPECIAL_STRAY_PORCUPINE,Porcupine,,Puercoespín,Porc-épic,Stacheltier,Porcospino,Porco-Espinho
SPECIAL_STRAY_ISAAC,Isaac,,Isaac,Isaac,Isaac,Isaac,Isaac
SPECIAL_STRAY_EDMUND,Edmund,,Edmund,Edmund,Edmund,Edmund,Edmund
SPECIAL_STRAY_TYLER,Tyler,,Tyler,Tyler,Tyler,Tyler,Tyler
SPECIAL_STRAY_FIJIMERMAID,Fiji Mermaid,,Sirena de Fiyi,Sirène des Fidji,Fidschi-Meerjungfrau,Sirena delle Fiji,Sereia de Fiji
SPECIAL_STRAY_JERSEYDEVIL,Jersey Devil,,Demonio de Jersey,Diable du Jersey,Jersey Devil,Diavolo del Jersey,Demônio de Jersey
SPECIAL_STRAY_SONICHU,Sonichu,,Sonichu,Sonichu,Sonichu,Sonichu,Sonichu
SPECIAL_STRAY_BIGFOOT,Bigfoot,,Bigfoot,Bigfoot,Bigfoot,Bigfoot,Pé-Grande
SPECIAL_STRAY_NESSIE,Nessie,,Nessie,Nessie,Nessie,Nessie,Nessie
SPECIAL_STRAY_GREY,Grey,,Grey,Gris,Grauer,Grigio,Cinza
SPECIAL_STRAY_MOTHMAN,Mothman,,Mothman,Homme-papillon,Mothman,Uomo Falena,Homem-Mariposa
SPECIAL_STRAY_SLENDERMAN,Slenderman,,Slenderman,Slenderman,Slenderman,Slenderman,Slenderman
,,,,,,,
PAUSE_MENU_HEADER,Paused,,Pausa,Pause,Pause,In pausa,Pausado
PAUSE_MENU_BUTTON_RESUME,Resume,,Reanudar,Reprendre,Weiter,Riprendi,Continuar
PAUSE_MENU_BUTTON_SETTINGS,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações
PAUSE_MENU_BUTTON_QUITTOMENU,Save and Quit to Menu,,Guardar y salir al menú,Sauvegarder et retourner au menu,Speichern und zurück zum Menü,Salva ed esci al menu,Salvar e sair para o menu
PAUSE_MENU_BUTTON_QUITTODESKTOP,Save and Quit to Desktop,,Guardar y salir al escritorio,Sauvegarder et quitter le jeu,Speichern und beenden,Salva ed esci al desktop,Salvar e sair para a área de trabalho
PAUSE_MENU_BUTTON_ABANDONRUN,Abandon Adventure,,Abandonar aventura,Abandonner l'aventure,Abenteuer abbrechen,Abbandona avventura,Abandonar aventura
PAUSE_MENU_BUTTON_ABANDONFIGHT,Concede Fight,,Rendirse,Déclarer forfait,Kampf aufgeben,Rinuncia al combattimento,Desistir da luta
PAUSE_MENU_BUTTON_SKIPTUTORIAL,Skip Tutorial,,Omitir tutorial,Passer le didacticiel,Tutorial überspringen,Salta il tutorial,Pular tutorial
PAUSE_MENU_BUTTON_BACK,Back,,Atrás,Retour,Zurück,Indietro,Voltar
PAUSE_MENU_BUTTON_GAMESETTINGS,Game Settings,,Ajustes de juego,Réglages du jeu,Gameplay,Impostazioni di gioco,Jogabilidade
PAUSE_MENU_BUTTON_VIDEOSETTINGS,Video Settings,,Ajustes de vídeo,Réglages vidéo,Video,Impostazioni video,Vídeo
PAUSE_MENU_BUTTON_AUDIOSETTINGS,Audio Settings,,Ajustes de sonido,Réglages audio,Audio,Impostazioni audio,Áudio
PAUSE_MENU_BUTTON_CONTROLS,Controls,,Controles,Commandes,Steuerung,Controlli,Controles
SETTINGS_MENU_HEADER,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações
SETTINGS_GAME_HEADER,Game Settings,,Ajustes de juego,Réglages du jeu,Gameplay,Impostazioni di gioco,Jogabilidade
SETTINGS_LANGUAGE_LABEL,Language,,Idioma,Langue,Sprache,Lingua,Idioma
SETTINGS_HUMPING_LABEL,Humping Animations,,Animaciones de ñiqui ñiqui,Animations de coït,Paarungsanimation,Animazioni di accoppiamento,Animações impróprias
SETTINGS_HUMPING_OPT_NORMAL,Normal,,Normales,Normales,Normal,Normali,Normal
SETTINGS_HUMPING_OPT_SAFE,Safe,,Seguras,Tout public,Kinderfreundlich,Sicure,Seguro
SETTINGS_HUMPING_OPT_RANDOM,Random,,Al azar,Aléatoires,Zufall,Casuali,Aleatório
SETTINGS_AUTOSELECT_LABEL,Autoselect Basic Actions,,Autoseleccionar acciones básicas,Autosélection des actions de base,Grundaktionen automatisch auswählen,Selezione automatica azioni di base,Selecionar ações básicas automaticamente
SETTINGS_DOUBLECLICK_LABEL,Targeting Empty Tiles Requires Double Click,,Es necesario hacer doble clic para marcar casillas vacías,Double-clic pour cibler une case vide,Anvisieren leerer Felder erfordert Doppelklick,Per selezionare caselle vuote è necessario un doppio clic,Mirar em espaços vazios requer clique duplo
SETTINGS_DOUBLECLICK_LABEL_GAMEPAD,Targeting Empty Tiles Requires Double Press,,Es necesario presionar dos veces para marcar casillas vacías,Double appui pour cibler une case vide,Anvisieren leerer Felder erfordert doppelten Tastendruck,Per selezionare caselle vuote è necessario una doppia pressione,Mirar em espaços vazios requer pressionar duas vezes
SETTINGS_MAXSTATUSES_LABEL,Max Statuses Shown Before Collapse,,Máximo de estados mostrados antes de ocultarlos,Statuts max. affichés avant réduction,Max. Anzahl Statuseffekte vor Verkleinerung,Numero massimo di stati visualizzati prima della chiusura,Mostrar atributos máximos antes de colapsar
SETTINGS_MAXSTATUSES_OPT_0,Hover Only,,Solo pasar el cursor,Survol uniquement,Nur bei Hover,Solo al passaggio del cursore,Apenas passar
SETTINGS_COLLAPSEELITEBUFFS_LABEL,Collapse Multiple Elite Buffs,,Ocultar varias ventajas de élite,Réduire les bonus d'élite des boss,Mehrere Elitestärkungen zusammenfassen,Chiudi bonus élite multipli,Colapsar múltiplos reforços de elite
SETTINGS_COMBATSPEED_LABEL,Combat Speed,,Velocidad de combate,Vitesse de combat,Kampfgeschwindigkeit,Velocità di combattimento,Velocidade do combate
SETTINGS_TOOLTIPSIZE_LABEL,Tooltip Size,,Tamaño de información,Taille des infobulles,Größe von Tooltipps,Dimensione suggerimenti,Tamanho das dicas
SETTINGS_STATUSBARSIZE_LABEL,Status Bar Size,,Tamaño de barra de estado,Taille de la barre de statut,Größe der Statusleiste,Dimensione barra di stato,Tamanho da barra de estado
SETTINGS_SAVEFILEBACKUP_LABEL,Save File Backup Period,,Intervalo de guardado de archivos,Fréquence des sauvegardes auto.,Backupfrequenz von Speicherständen,Frequenza backup dei salvataggi,Frequência de backup de salvamentos
SETTINGS_SAVEFILEBACKUP_OPT_15,15 min,,15 min,15&nbsp;min,15 Min.,15 min,15min
SETTINGS_SAVEFILEBACKUP_OPT_30,30 min,,30 min,30&nbsp;min,30 Min.,30 min,30min
