KEY,en,notes,sp,fr,de,it,pt-br
PLAYER_CAT_NAME,{Catname},,{Catname},{Catname},{Catname},{Catname},{Catname}
PLAYER_CAT_NAME_M,,,,,,,
PLAYER_CAT_NAME_F,,,,,,,
PLAYER_CAT_NAME_N,,,,,,,
PLAYER_CAT_DESC,Cat.,,Un gato.,Un chat.,Katze.,Gatto.,Gato.
PLAYER_MINIME_NAME,Mini-{Catname},,Mini-{Catname},Mini-{Catname},Mini-{Catname},Mini-{Catname},Mini-{Catname}
PLAYER_MINIME_NAME_M,,,,,,,
PLAYER_MINIME_NAME_F,,,,,,,
PLAYER_MINIME_NAME_N,,,,,,,
PLAYER_MINIMINIME_NAME,Mini-Mini-{Catname},,Mini-Mini-{Catname},Mini-mini-{Catname},Mikro-{Catname},Mini-Mini-{Catname},Mini-Mini-{Catname}
PLAYER_MINIMINIME_NAME_M,,,,,,,
PLAYER_MINIMINIME_NAME_F,,,,,,,
PLAYER_MINIMINIME_NAME_N,,,,,,,
PLAYER_CATCLONE_NAME,{Catname} Clone,,Clon de {Catname},"{Catname}, version clone",Klon von {Catname},Clone di {Catname},Clone de {Catname}
PLAYER_CATCLONE_NAME_M,,,,{Catname} cloné,,,
PLAYER_CATCLONE_NAME_F,,,,{Catname} clonée,,,
PLAYER_CATCLONE_NAME_N,,,,{Catname} cloné(e),,,
PLAYER_FLESHGOLEM_NAME,Flesh Golem,,Gólem carnoso,Golem de chair,Fleischgolem,Golem di Carne,Golem de Carne
//enemies,,,,,,,
ENEMY_FLY_NAME,Fly,,Mosca,Mouche,Fliege,Mosca,Mosca
ENEMY_FLY_DESC,"Melee attacker.
Flying.",,"Atacante cuerpo a cuerpo.
Vuela.","Attaque au corps-à-corps.
Vol.","Nahkämpfer.
Fliegt.","Specialista del corpo a corpo.
Volante.",Agressor corpo-a-corpo
ENEMY_MAGGOT_NAME,Maggot,,Gusano,Asticot,Made,Larva,Verme
ENEMY_MAGGOT_DESC,Melee attacker.,,Atacante cuerpo a cuerpo.,Attaque au corps-à-corps.,Nahkämpfer.,Specialista del corpo a corpo.,Agressor corpo-a-corpo
ENEMY_FLEA_NAME,Flea,,Pulga,Puce,Floh,Pulce,Pulga
ENEMY_FLEA_DESC,Its melee attack damages itself.,,Se autoinflige daño con su propio ataque cuerpo a cuerpo.,Son attaque au corps-à-corps lui inflige des dégâts.,Fügt sich durch Nahkampfangriffe selbst Schaden zu.,Il suo attacco corpo a corpo le si ritorce contro.,Seu ataque corpo-a-corpo causa dano contra si mesma.
ENEMY_PINKY_NAME,Pinky,,Rosita,Auriculaire,Pinky,Topo Pinky,Mindinho
ENEMY_PINKY_DESC,"Melee attacker.
Moves randomly.",,"Atacante cuerpo a cuerpo.
Se mueve al azar.","Attaque au corps-à-corps.
Déplacements aléatoires.","Nahkämpfer.
Bewegt sich zufällig.","Specialista del corpo a corpo.
Si muove in maniera casuale.","Agressor corpo-a-corpo.
Move-se aleatoriamente."
ENEMY_MEATMINION_NAME,Meat Minion,,Secuaz carnoso,Larbin de chair,Fleischdiener,Carne da macello,Servo de Carne
ENEMY_MEATMINION_DESC,,,,,,,
ENEMY_DIP_NAME,Dip,,Catalino,Caca,Köttel,Cacchina,Caquinha
ENEMY_DIP_DESC,Melee attacker.,,Atacante cuerpo a cuerpo.,Attaque au corps-à-corps.,Nahkämpfer.,Specialista del corpo a corpo.,Agressor corpo-a-corpo
ENEMY_RATTLESNEK_NAME,Rattlesnek,,Cascabela,Serpent à sonnette,Klapperschlange,Serpentello a Sonagli,Cascavel
ENEMY_RATTLESNEK_DESC,"Ambushes enemies who walk past it.
Its attacks inflict Poison.",,"Ataca por sorpresa a los enemigos que pasan por su lado.
Inflige veneno con los ataques.","Tend des embuscades aux ennemis qui passent à proximité.
Ses attaques infligent Poison.","Greift Gegner an, die sich über benachbarte Felder bewegen.
Ihr Angriff verursacht Gift.","Tende imboscate ai nemici che lo superano.
I suoi attacchi infliggono Veleno.","Embosca inimigos que passam nas proximidades.
Seus ataques aplicam Veneno."
ENEMY_SPIDERLING_NAME,Spiderling,,Arañita,Jeune araignée,Spinnenling,Ragnetto,Aranhinha
ENEMY_SPIDERLING_DESC,"Burrows inside its victims, inflicting Infested.",,Se mete en el interior de las víctimas y les inflige infestación.,"S'enfouit à l'intérieur de ses victimes, infligeant Infestation.",Frisst sich in seine Opfer und infiziert sie.,"Si rintana all'interno delle sue vittime, infliggendo Infestato.","Esconde-se dentro de suas vítimas, aplicando Infestação."
ENEMY_WISP_NAME,Wisp,,Avispa,Feu follet,Irrlicht,Fuoco Fatuo,Fogo-Fátuo
ENEMY_WISP_DESC,"Its melee attack inflicts Burn.
Dodges one attack per turn.",,"Su ataque cuerpo a cuerpo inflige quemadura.
Esquiva un ataque por turno.","Ses attaques au corps-à-corps infligent Brûlure.
Esquive une attaque par tour.","Sein Nahkampfangriff verursacht Verbrennung.
Weicht einem Angriff pro Zug aus.","Il suo attacco corpo a corpo infligge Bruciatura.
Schiva un attacco a ogni turno.","Seus ataques corpo-a-corpo causam queimadura.
Esquiva-se de um ataque por turno."
ENEMY_MOONWORM_NAME,Moon Worm,,Lombriz lunar,Ver sélénien,Mondwurm,Verme Lunare,Verme Lunar
ENEMY_MOONWORM_DESC,"Lobs shots at all of its enemies within range.
Gains +1 Brace when damaged.",,"Dispara en arco a todos los enemigos que tiene al alcance.
Obtiene +1 de refuerzo al sufrir daño.","Lance des projectiles sur tous ses ennemis à portée.
Bénéficie de Garde +1&nbsp;quand il est touché.","Schießt auf alle Gegner innerhalb seiner Reichweite.
Erhält +1&nbsp;Wappnen, wenn er Schaden erleidet.","Esegue un tiro a parabola contro tutti i nemici a portata.
Ottiene +1 Guardia quando subisce danno.","Lança ataques contra todos os inimigos dentro do alcance.
Obtém +1 de preparação ao sofrer dano."
ENEMY_INVADER_NAME,Schpidenbot,spiderbot (see the note about robot nazi enemies elsewhere),Schpidenbot,Schpidenbot,Spinnenbot,Roboragnen,Schpidenbot
ENEMY_INVADER_DESC,Melee attacker that inflicts Poison.,,Este atacante cuerpo a cuerpo inflige veneno.,Attaque au corps-à-corps et inflige Poison.,Nahkämpfer. Verursacht Gift.,Specialista del corpo a corpo che infligge Veleno.,Agressor corpo-a-corpo que aplica veneno.
ENEMY_TINYTUMOR_NAME,Tiny Tumor,,Minitumor,Petite tumeur,Winziger Tumor,Piccolo Tumore,Tumor Minúsculo
ENEMY_TINYTUMOR_DESC,Its melee attack causes cats it hits to lose 1 [img:con] permanently and has a chance to give them cancer.,,Su ataque cuerpo a cuerpo hace que los gatos pierdan 1 [img:con] para siempre y puede provocarles cáncer.,Son attaque au corps-à-corps fait perdre définitivement 1&nbsp;[img:con] aux chats qu'elle touche et a une chance de leur donner le cancer.,Seine Nahkampfangriffe auf Katzen verringern ihre [img:con] dauerhaft um 1 und kann Krebs verursachen.,"Il suo attacco corpo a corpo fa perdere permanentemente 1 alla [img:con] dei gatti che colpisce, e ha la possibilità di infliggere Cancro.",Seu ataque corpo-a-corpo faz com que gatos atingidos percam 1 de [img:con] permanentemente e possui uma chance de aplicar câncer.
ENEMY_CLOT_NAME,Clot,,Coágulo,Caillot,Blutgerinnsel,Grumo,Coágulo
ENEMY_CLOT_DESC,Has a chance to become a Stem Cat at the end of its turn.,,Puede transformarse en citogato al final del turno.,A une chance de se changer en chat écorché à la fin de son tour.,Wird mit einer gewissen Wahrscheinlichkeit am Ende seines Zuges zu einer Stammkatze.,Ha la possibilità di diventare un Gatto Staminale alla fine del suo turno.,Possui uma chance de se tornar um gato-tronco no final de seu turno.
ENEMY_FRANKSBEAN_NAME,Frank's Bean,,Alubia de Frank,Haricot de Frank,Franks Bohne,Fagiolo di Frank,Feijão de Frank
ENEMY_LOUSE_NAME,Louse,,Piojo,Pou,Laus,Pidocchio,Piolho
